description;typePeriode;fis_typeData;fis_slug;fis_elementKey;fis_elementName;fis_elementId;fis_groupeCode;fis_valueKey;fis_structureKey;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_orgUnitKey
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.11. Dépistage des lésions précancéreuses du col de l’utérus à IVA/IVL;Dépistage des lésions précancéreuses du col de l’utérus à IVA/IVL;quantite_cout_examens-pvvih;;id_structure;VII.1.11. IVA/IVL PVVIH;MMm9QzfFzWW;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.1. Triglycéride;Triglycéride ;quantite_cout_examens-pvvih;;id_structure;VII.1.1. TRIGLYCERIDE PVVIH;dlVmwnX299n;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.2. Protéinurie de 24 Heures;Protéinurie de 24 Heures;quantite_cout_examens-pvvih;;id_structure;VII.1.2. PROTEINURIE 24 HEURES PVVIH;wQx9ueRSLFw;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.3. Transaminase ASAT/ALAT;Transaminase ASAT/ALAT;quantite_cout_examens-pvvih;;id_structure;VII.1.3. TRANSAMINASE ASAT/ALAT PVVIH;TCzCZZvp3O0;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.4. Radiologie pulmonaire face;Radiologie pulmonaire face;quantite_cout_examens-pvvih;;id_structure;VII.1.4. RADIOLOGIE PULMONAIRE FACE PVVIH;WoUc3AG5tGi;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.5. Créatininémie;Créatininémie ;quantite_cout_examens-pvvih;;id_structure;VII.1.5. CREATININEMIE PVVIH;HX4gRrw6Ll0;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.6. Ag HBS (Hépatite virale B);Ag HBS (Hépatite virale B);quantite_cout_examens-pvvih;;id_structure;VII.1.6. AG HBS (HEPATITE VIRALE B) PVVIH;RKCyBIUeVLU;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.7. Cholestérol HDL;Cholestérol HDL ;quantite_cout_examens-pvvih;;id_structure;VII.1.7. CHOLESTÉROL HDL PVVIH;gvRUOGFbJZR;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.8. Cholestérol Total;Cholestérol Total ;quantite_cout_examens-pvvih;;id_structure;VII.1.8. CHOLESTÉROL TOTAL PVVIH;VLRwZN2fvce;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.9. NFS;NFS;quantite_cout_examens-pvvih;;id_structure;VII.1.9. NFS PVVIH;lB2AaxYRDWi;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;II.1.Examens complémentaires;II.1.Examens complémentaires;quantite_cout_examens-pvvih;;id_structure;VII.2.3. EXAMENS COMPLEMENTAIRES PVVIH;rHYaPgdrwxZ;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;;;;;;;quantite_cout_samu;quanite;;;;Quantite_Cout-samu;UMaU0DHlm3l;Quantite;Gv3JNxYAwVb;
;;;;;;;quantite_cout_samu;cout_total;;;;Quantite_Cout-samu;UMaU0DHlm3l;Cout;dNttMsO2HVn;
;MENSUELLE;indicateurs;samu;libelle;I.1.1.Femme enceinte;Femme enceinte;quantite_cout_samu;;id_structure;I.1.1. FEMME ENCEINTE SAMU;v4riHHxviXk;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;samu;libelle;I.1.2.Femme en couche et suite;Femme en couche et suite;quantite_cout_samu;;id_structure;I.1.2. FEMME EN COUCHE ET SUITE SAMU;QNIImZq2voC;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;samu;libelle;I.1.3.PVVIH;PVVIH;quantite_cout_samu;;id_structure;I.1.3. PERSONNES VIVANT AVEC LE VIH SAMU;XLD39bp5QUi;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;samu;libelle;I.1.4.Radiothérapie;Radiothérapie;quantite_cout_samu;;id_structure;I.1.4. RADIOTHERAPIE SAMU;P6cdTN4uvhU;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;samu;libelle;I.1.5.Enfants moins de cinq (05) ans;Enfants moins de cinq (05) ans;quantite_cout_samu;;id_structure;I.1.5. ENFANTS MOINS DE CINQ (05) ANS SAMU;VPDiCMcg0Hh;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;samu;libelle;I.1.6.Hors gratuité;Hors gratuité;quantite_cout_samu;;id_structure;I.1.6. CIBLES HORS GRATUITE SAMU;G907ifQepmD;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;samu;libelle;I.2.4.Actes (consultations);I.2.1. ACTES (CONSULTATIONS, CHIRURGIES) SAMU;quantite_cout_samu;;id_structure;I.2.1. ACTES (CONSULTATIONS, CHIRURGIES) SAMU;Ibcoo1pyRbL;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;samu;libelle;I.2.2.Médicaments et consommables médicaux;I.2.2. MONTANT TOTAL DES MEDICAMENTS ET CONSOMMABLES MEDICAUX SAMU;quantite_cout_samu;;id_structure;I.2.2. MONTANT TOTAL DES MEDICAMENTS ET CONSOMMABLES MEDICAUX SAMU;NxwCnENBosO;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;samu;libelle;I.2.5.Mise en observation/Hospitalisation;I.2.3. MISE EN OBSERVATION/HOSPITALISATION SAMU;quantite_cout_samu;;id_structure;I.2.3. MISE EN OBSERVATION/HOSPITALISATION SAMU;RNJoIpdtFzL;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;samu;libelle;I.2.3.Examens complémentaires;I.2.4. EXAMENS COMPLEMENTAIRES SAMU;quantite_cout_samu;;id_structure;I.2.4. EXAMENS COMPLEMENTAIRES SAMU;IjIoWJzj0vw;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;samu;libelle;I.2.1.Carburant évacuation;I.2.5. CARBURANT SAMU;quantite_cout_samu;;id_structure;I.2.5. CARBURANT SAMU;XvI6Rmjg3Pb;Quantite_Cout-samu;UMaU0DHlm3l;;;uuid_fs
